Instance,LB1,UB1,Time_10min_s,LB2,UB2,Time_2hours_s,Obj,Time_algo_s,Obj_over_LB2,Obj_over_UB2
c-n21-k6,95.4327,95.4327,1.3432,95.4327,95.4327,1.4221,111.8220,0.5016,1.1717,1.1717
r-n21-k6,177.6325,177.6325,1.2808,177.6325,177.6325,1.1813,190.0527,0.1210,1.0699,1.0699
RC-n21-k6,132.1697,132.1697,0.3371,132.1697,132.1697,0.2611,142.6467,0.6905,1.0793,1.0793
c-n41-k10,105.9391,105.9391,90.9798,105.9391,105.9391,91.3954,130.8669,7.6054,1.2353,1.2353
r-n41-k10,187.4034,187.4034,29.4688,187.4034,187.4034,30.1848,223.8441,2.1668,1.1945,1.1945
RC-n41-k10,-,-,-,-,-,-,144.8771,0.7757,-,-
