Instance,LB1,UB1,Time_10min_s,LB2,UB2,Time_2hours_s,Obj,Time_algo_s,Obj_over_LB2,Obj_over_UB2
c-n21-k6,83.8261,83.8261,190.0439,83.8261,83.8261,192.1426,86.8470,1.1489,1.0360,1.0360
c-n41-k10,108.9093,108.9093,38.2268,108.9093,108.9093,41.1640,108.9093,6.7416,1.0000,1.0000
c-n61-k14,-,-,-,-,-,-,114.6653,5.6300,-,-
c-n81-k18,-,-,-,-,-,-,143.9761,5.7463,-,-
c-n101-k22,-,-,-,-,-,-,150.4780,3.3886,-,-
r-n21-k6,122.6969,122.6969,0.1246,122.6969,122.6969,0.1099,135.9524,4.8371,1.1080,1.1080
