Instance,LB1,UB1,Time_10min_s,LB2,UB2,Time_2hours_s,Obj,Time_algo_s,Obj_over_LB2,Obj_over_UB2
c-n21-k6,95.4327,95.4327,1.1877,95.4327,95.4327,1.1071,111.8220,0.4216,1.1717,1.1717
r-n21-k6,177.6325,177.6325,1.0745,177.6325,177.6325,1.0434,190.0527,0.1877,1.0699,1.0699
RC-n21-k6,132.1697,132.1697,0.2414,132.1697,132.1697,0.2306,142.6467,0.6898,1.0793,1.0793
c-n23-k6,106.8592,106.8592,3.1652,106.8592,106.8592,3.1676,110.7024,5.3647,1.0360,1.0360
r-n23-k6,169.5777,169.5826,1.8766,169.5777,169.5826,1.8808,170.3172,2.2284,1.0044,1.0043
RC-n23-k6,157.3529,157.3529,0.2453,157.3529,157.3529,0.2332,188.4341,0.9219,1.1975,1.1975
c-n41-k10,105.9391,105.9391,112.2629,105.9391,105.9391,140.4059,130.8669,7.0697,1.2353,1.2353
r-n41-k10,187.4034,187.4034,33.9245,187.4034,187.4034,34.2699,223.8441,3.4902,1.1945,1.1945
RC-n41-k10,-,-,-,-,-,-,144.8771,1.4608,-,-
