Instance,LB1,UB1,Time_10min_s,LB2,UB2,Time_2hours_s,Obj,Time_algo_s,Obj_over_LB2,Obj_over_UB2
c-n21-k6,77.1031,80.4574,600.0731,78.4005,80.4574,7200.1072,80.4574,1.0989,1.0262,1.0000
r-n21-k6,123.8977,123.9100,205.9729,123.8977,123.9100,206.0551,189.4699,0.8639,1.5292,1.5291
RC-n21-k6,122.9486,125.4056,603.8439,125.4056,125.4056,2101.0681,126.9040,0.8328,1.0119,1.0119
