Instance,LB1,UB1,Time_10min_s,LB2,UB2,Time_2hours_s,Obj,Time_algo_s,Obj_over_LB2,Obj_over_UB2
c-n21-k6,77.1031,80.4574,600.0643,78.4005,80.4574,7200.1677,80.4574,1.3262,1.0262,1.0000
r-n21-k6,123.8977,123.9100,215.6588,123.8977,123.9100,215.9296,189.4699,0.8426,1.5292,1.5291
RC-n21-k6,122.9486,125.4056,600.0627,125.4056,125.4056,1088.0690,126.9040,1.5719,1.0119,1.0119
c-n41-k10,-,-,-,-,-,-,118.5343,1.7893,-,-
r-n41-k10,-,-,-,-,-,-,156.7775,7.4580,-,-
RC-n41-k10,-,-,-,-,-,-,138.1914,1.1184,-,-
