Instance,LB1,UB1,Time_10min_s,LB2,UB2,Time_2hours_s,Obj,Time_algo_s,Obj_over_LB2,Obj_over_UB2
c-n21-k6,-,-,-,-,-,-,111.8220,0.4451,-,-
r-n21-k6,-,-,-,-,-,-,190.0527,0.1296,-,-
